,1a. open (GBP),1b. open (USD),2a. high (GBP),2b. high (USD),3a. low (GBP),3b. low (USD),4a. close (GBP),4b. close (USD),5. volume,6. market cap (USD)
06/12/2023,34761.02183,44073.82,34937.20953,44297.21,34178.53534,43335.28,34515.6336,43762.69,51431.10492,51431.10492
05/12/2023,33118.38057,41991.1,35087.6856,44488,32663.2218,41414,34760.62748,44073.32,67490.74644,67490.74644
04/12/2023,31526.12146,39972.26,33456.654,42420,31526.12146,39972.26,33118.38057,41991.1,79272.33059,79272.33059
03/12/2023,31114.49105,39450.35,31745.175,40250,30976.08208,39274.86,31526.12146,39972.26,26710.65335,26710.65335
02/12/2023,30508.89564,38682.51,31324.90832,39717.14,30476.63781,38641.61,31114.49105,39450.35,26696.92161,26696.92161
01/12/2023,29752.89514,37723.97,30758.5113,38999,29667.62878,37615.86,30508.90352,38682.52,43415.66324,43415.66324
30/11/2023,29855.96246,37854.65,30085.6319,38145.85,29576.25,37500,29752.88725,37723.96,24740.29147,24740.29147
29/11/2023,29827.75066,37818.88,30325.515,38450,29631.459,37570,29855.95457,37854.64,32994.19107,32994.19107
28/11/2023,29373.31749,37242.7,30267.9399,38377,29078.11497,36868.41,29827.74277,37818.87,37544.46667,37544.46667
27/11/2023,29534.78015,37447.42,29630.8517,37569.23,28950.8109,36707,29373.31749,37242.7,30001.07376,30001.07376
26/11/2023,29797.61443,37780.67,29824.39868,37814.63,29300.205,37150,29534.78804,37447.43,21264.53723,21264.53723
25/11/2023,29744.69266,37713.57,29882.2656,37888,29648.10057,37591.1,29797.61443,37780.67,11396.14464,11396.14464
24/11/2023,29413.99075,37294.27,30297.1218,38414,29380.26594,37251.51,29744.69266,37713.57,44680.80646,44680.80646
23/11/2023,29503.96565,37408.35,29697.26813,37653.44,29079.369,36870,29413.99864,37294.28,23827.92882,23827.92882
22/11/2023,28189.43936,35741.65,29861.04957,37861.1,28102.96629,35632.01,29503.95776,37408.34,45051.30697,45051.30697
21/11/2023,29535.86067,37448.79,29694.11333,37649.44,28184.1945,35735,28189.43936,35741.65,47646.54804,47646.54804
20/11/2023,29465.7137,37359.85,29773.425,37750,28927.1499,36677,29535.85279,37448.78,36022.70291,36022.70291
19/11/2023,28841.26836,36568.11,29576.25,37500,28696.07657,36384.02,29465.72158,37359.86,21246.34648,21246.34648
18/11/2023,28877.39082,36613.91,29060.03796,36845.49,28534.04605,36178.58,28841.26047,36568.1,17102.24186,17102.24186
17/11/2023,28522.16034,36163.51,29024.16,36800,28283.64957,35861.1,28877.3987,36613.92,38283.61112,38283.61112
16/11/2023,29858.76234,37858.2,29915.0282,37929.54,27998.85,35500,28522.16034,36163.51,47490.39566,47490.39566
15/11/2023,28039.23144,35551.2,29954.826,37980,27888.432,35360,29858.76234,37858.2,53569.13385,53569.13385
14/11/2023,28758.31289,36462.93,28979.9928,36744,27446.76,34800,28039.22355,35551.19,45503.68416,45503.68416
13/11/2023,29232.47933,37064.13,29511.56871,37417.99,28655.8371,36333,28758.31289,36462.93,32798.18252,32798.18252
12/11/2023,29284.42311,37129.99,29357.16491,37222.22,28969.81857,36731.1,29232.47933,37064.13,17687.18874,17687.18874
11/11/2023,29419.79558,37301.63,29503.89466,37408.26,28919.20769,36666.93,29284.431,37130,22984.97235,22984.97235
10/11/2023,28946.15757,36701.1,29596.7562,37526,28649.29878,36324.71,29419.79558,37301.63,43414.04898,43414.04898
09/11/2023,28097.21666,35624.72,29948.70569,37972.24,28025.70524,35534.05,28946.14968,36701.09,82537.88885,82537.88885
08/11/2023,27919.29383,35399.13,28476.8022,36106,27683.37,35100,28097.21666,35624.72,33401.34137,33401.34137
